code,name,country,municipality
SPQU,Rodríguez Ballón International Airport,PE,Arequipa
SPRU,Capitán FAP Carlos Martínez de Pinillos International Airport,PE,Trujillo
SPSO,Captain Renán Elías Olivera International Airport,PE,Pisco
SPST,Cadete FAP Guillermo Del Castillo Paredes Airport,PE,Tarapoto
SPSY,Shiringayoc Airport,PE,Shiringayoc
SPTN,Coronel FAP Carlos Ciriani Santa Rosa International Airport,PE,Tacna
SPTU,Padre Aldamiz International Airport,PE,Puerto Maldonado
SPUR,PAF Captain Guillermo Concha Iberico International Airport,PE,Piura
SPYL,Captain Victor Montes Arias International Airport,PE,Talara
SPZA,Maria Reiche Neuman Airport,PE,Nazca
SPZO,Alejandro Velasco Astete International Airport,PE,Cusco
SSAP,Captain João Busse Airport,BR,Apucarana
SSBL,Blumenau Airport,BR,Blumenau
SSCK,Olavo Cecco Rigon Airport,BR,Concórdia
SSCL,Cassilândia Airport,BR,Cassilândia
SSCN,Canela Airport,BR,Canela
SSCP,Cornélio Procópio Airport,BR,Cornélio Procópio
SSCT,Engenheiro Gastão de Mesquita Filho Airport,BR,Cianorte
SSDO,São Pedro Airport,BR,Porto Seguro
SSER,Erechim Airport,BR,Erechim
SSFB,Paulo Abdala Airport,BR,Francisco Beltrão
SSFW,Fazenda Progresso Airport,BR,Mucugê
SSGY,Guaíra Airport,BR,Guaíra
SSHZ,Walter Bündchen Airport,BR,Horizontina
SSIJ,João Batista Bos Filho Airport,BR,Ijuí
SSIQ,Itaqui Airport,BR,Itaqui
SSJA,Santa Terezinha Airport,BR,Joaçaba
SSKM,Campo Mourão Airport,BR,Campo Mourão
SSKW,Cacoal Airport,BR,Cacoal
SSLN,Helmuth Baungarten Airport,BR,Lontras
SSLT,Alegrete Novo Airport,BR,Alegrete
SSOE,São Miguel do Oeste Hélio Wasum Airport,BR,São Miguel do Oeste
SSOG,Arapongas Airport,BR,Arapongas
SSOM,Embaixador Airport,BR,Bela Vista de Goiás
SSOU,Aripuanã Airport,BR,Aripuanã
SSPB,Fazenda São José do Pontal Airport,BR,Ribas do Rio Pardo
SSPG,Paranaguá Airport,BR,Paranaguá
SSPI,Paranavaí Airport,BR,Paranavaí
SSPM,Porto Murtinho Airport,BR,Porto Murtinho
SSPN,Paranaíba Airport,BR,Paranaíba
SSRU,São Lourenço do Sul Airport,BR,São Lourenço Do Sul
SSSC,Santa Cruz do Sul Airport,BR,Santa Cruz do Sul
SSUM,Orlando de Carvalho Airport,BR,Umuarama
SSUV,José Cleto Airport,BR,União da Vitória
SSVI,Videira Airport,BR,Videira
SSVP,Fazenda São Joaquim Airstrip,BR,Conceição da Barra
SSXH,Sócrates Mariani Bittencourt Airport,BR,Brumado
SSYA,Fazenda Tropical Airport,BR,São Luiz do Norte
SSZR,Luis Alberto Lehr Airport,BR,Santa Rosa
SSZW,Usina Coruripe - Filial Limeira do Oeste Airport,BR,Limeira Do Oeste
SUAG,Artigas International Airport,UY,Artigas
SUBU,Placeres Airport,UY,Bella Union
SUCA,Colonia Laguna de Los Patos International Airport,UY,Colonia del Sacramento
SUDU,Santa Bernardina International Airport,UY,Durazno
SULS,Capitan Corbeta CA Curbelo International Airport,UY,Punta del Este
SUMO,Cerro Largo International Airport,UY,Melo
SUMU,Carrasco General Cesáreo L. Berisso International Airport,UY,Ciudad de la Costa
SUPU,Tydeo Larre Borges Airport,UY,Paysandú
